accession	tax_id	description	scientific_name	last_updated	base_count	first_public
DQ363234	111875	Drosophila jambulina Adh (Adh) gene, partial cds.	Drosophila jambulina	2006-05-25	546	2006-05-25
EU877944	7217	Drosophila ananassae isolate 26ADH ADH (adh) gene, complete cds.	Drosophila ananassae	2008-12-16	859	2008-08-06
EU877942	7217	Drosophila ananassae isolate 28ADH ADH (adh) gene, partial cds.	Drosophila ananassae	2008-12-16	856	2008-08-06
EU877945	7217	Drosophila ananassae isolate 20ADH ADH (adh) gene, partial cds.	Drosophila ananassae	2008-12-16	823	2008-08-06
EU877937	7217	Drosophila ananassae isolate 30ADH ADH (adh) gene, partial cds.	Drosophila ananassae	2008-12-16	821	2008-08-06
EF136978	40366	Drosophila americana isolate FP99.09 Adh (Adh) gene, partial cds.	Drosophila americana	2007-09-11	840	2006-12-24
EF136993	40366	Drosophila americana isolate SB02.09 Adh (Adh) gene, partial cds.	Drosophila americana	2007-09-11	840	2006-12-24
EF137000	40366	Drosophila americana isolate IR04.04 Adh (Adh) gene, partial cds.	Drosophila americana	2007-09-11	840	2006-12-24
X60112	30013	D.madeirensis Adh and Adh-dup genes for alcohol dehydrogenase	Drosophila madeirensis	2006-11-14	3881	1993-08-25
EF136971	40366	Drosophila americana isolate FP99.29 Adh (Adh) gene, partial cds.	Drosophila americana	2007-09-11	840	2006-12-24
EF136992	40366	Drosophila americana isolate SB02.08 Adh (Adh) gene, partial cds.	Drosophila americana	2007-09-11	840	2006-12-24
EF136994	40366	Drosophila americana isolate SB02.10 Adh (Adh) gene, partial cds.	Drosophila americana	2007-09-11	840	2006-12-24
EF136997	40366	Drosophila americana isolate SB02.17 Adh (Adh) gene, partial cds.	Drosophila americana	2007-09-11	840	2006-12-24
X60113	7266	D.guanche Adh and Adh-dup genes for alcohol dehydrogenase	Drosophila guanche	2006-11-14	4433	1993-08-25
AF175219	7227	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k37 allele, complete cds.	Drosophila melanogaster	1999-12-21	951	1999-10-06
M97638	7250	Drosophila immigrans alcohol dehydrogenase (Adh and Adh-dup) genes, complete cds.	Drosophila immigrans	2006-11-14	3142	1993-06-05
U64530	7237	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS254 allele, complete cds.	Drosophila pseudoobscura	2005-04-18	3456	1996-08-16
U64540	7237	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS296 allele, complete cds.	Drosophila pseudoobscura	2005-04-18	3475	1996-08-16
U64552	7237	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS336 allele, complete cds.	Drosophila pseudoobscura	2005-04-18	3490	1996-08-16
AF175214	7227	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h21 allele, complete cds.	Drosophila melanogaster	1999-12-21	951	1999-10-06
U64541	7237	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS301 allele, complete cds.	Drosophila pseudoobscura	2005-04-18	3500	1996-08-16
U64525	7237	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS236 allele, complete cds.	Drosophila pseudoobscura	2005-04-18	3472	1996-08-16
U64534	7237	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS268 allele, complete cds.	Drosophila pseudoobscura	2005-04-18	3477	1996-08-16
L26040	7253	Drosophila mercatorum adh pseudogene.	Drosophila mercatorum	2000-03-04	1183	1993-11-13
MN267961	55946	Drosophila recens isolate R_CA_5 ADH-related protein (ADH-R) gene, partial cds.	Drosophila recens	2019-08-23	552	2019-08-23
MN268005	193351	Drosophila transversa isolate T_LA ADH-related protein (ADH-R) gene, partial cds.	Drosophila transversa	2019-08-23	552	2019-08-23
